AÑO,DEPARTAMENTO,DEPARTAMENTO,SEXO,Total personas,"IC+- b/
Total personas","Cve c/
Total personas",TOTAL Hogares,Hogares IC+- b/,Hogares Cve c/,,TOTAL Equipos de cómputo,Equipos de cómputo IC+-,Equipos de cómputo Cve,Equipos de cómputoProporción,,TOTAL Hogares con internet,Hogares con internetIC+-,Hogares con internet Cve,Hogares con internet Proporción,,Total Uso computador portátil en cualquier lugar,"Total IC+-
Usó computador portátil en cualquier lugar","Cve
Usó computador portátil en cualquier lugar","Proporción 
Usó computador portátil en cualquier lugar",,Total Uso computador en cualquier lugar,"Total IC+-
Usó computador en cualquier lugar","Cve
Usó computador en cualquier lugar","Proporción 
Usó computador en cualquier lugar",,Total Usó Internet en cualquier lugar y desde cualquier dispositivo,"IC+- 
Usó Internet en cualquier lugar y desde cualquier dispositivo","CVe
Usó Internet en cualquier lugar y desde cualquier dispositivo","Proporción
Usó Internet en cualquier lugar y desde cualquier dispositivo",,"Total 
Usó teléfono celular en cualquier lugar","IC+- 
Usó teléfono celular en cualquier lugar","CVe
Usó teléfono celular en cualquier lugar","Proporción
Usó teléfono celular en cualquier lugar",,,"TOTAL
Tiene teléfono celular","IC+-
Tiene teléfono celular","Cve
Tiene teléfono celular","Proporción
Tiene teléfono celular",,,"TOTAL
Tiene teléfono celular inteligente (smartphone)","IC+-
Tiene teléfono celular inteligente (smartphone)","Cve
Tiene teléfono celular inteligente (smartphone)","Proporción
Tiene teléfono celular inteligente (smartphone)",,TOTAL Pnas usan computador o internet,Pnas usan computador o internet IC+- b/,Pnas usan computador o internet Cve c/,proporción usan computador,,Usan procesadores texto TOTAL,Usan procesadores texto IC+-,Usan procesadores texto Cve,Usan procesadores texto Proporción,,Usan mails y adjuntos TOTAL,Usan mails y adjuntos IC+-,Usan mails y adjuntos Cve,Usan mails y adjuntos Proporción,,Instala dispositivos TOTAL,Instala dispositivos IC+-,Instala dispositivos Cve,Instala dispositivos Proporción,,Usa formulación hojas cálculo TOTAL,Usa formulación hojas cálculo IC+-,Usa formulación hojas cálculo Cve,Usa formulación hojas cálculo Proporción,,Crea PPTs TOTAL,Crea PPTs IC+-,Crea PPTs Cve,Crea PPTs Proporción,,Usa lenguaje programación TOTAL,Usa lenguaje programación IC+-,Usa lenguaje programación Cve,Usa lenguaje programación Proporción
,,CENTROS POBLADOS Y RURAL DISPERSO,TOTAL,96,15,8,45,7,7,,0,0,"35,2","0,6",,11,3,"11,8","25,3",,3,1,"20,3","2,7",,8,2,12,"8,8",,44,8,"9,1","45,9",,81,13,"7,9","84,4",,,58,9,8,"61,1",,,42,7,"8,8","71,6",,8,2,12,"8,8",,10,2,"12,3","23,3",,10,3,"13,1","22,1",,2,1,"18,2","5,5",,4,1,"16,1","8,3",,3,1,17,"7,1",,0,0,"27,8","1,1"
,,,HOMBRE,51,8,"7,9",,,,,,,,,,,,,,,1,1,"23,2","2,9",,4,1,"13,8","8,3",,21,4,"9,5","41,4",,43,7,"7,8","83,6",,,30,5,8,"58,7",,,19,3,"9,2",64,,4,1,"13,8","8,3",,5,1,"13,5","23,7",,4,1,"14,1","19,6",,1,0,"23,2","4,6",,2,1,"21,6","7,8",,2,1,"19,9","7,3",,0,0,"35,5","1,5"
,,,MUJER,45,7,"8,5",,,,,,,,,,,,,,,1,0,"20,9","2,5",,4,1,"13,8","9,4",,23,4,"9,6","51,2",,38,6,"8,5","85,3",,,28,5,"8,5","63,7",,,23,4,9,"79,7",,4,1,"13,8","9,4",,5,1,"14,3","22,9",,6,2,"14,1","24,5",,1,1,20,"6,3",,2,1,"17,1","8,8",,2,1,"19,7",7,,0,0,"44,7","0,7"
,ATLÁNTICO,TOTAL,TOTAL,2621,145,"2,8",774,39,3,,93,17,"9,4",12,,413,41,5,"53,3",,586,92,8,"22,4",,914,106,"5,9","34,9",,1970,130,"3,4","75,2",,2344,135,"2,9","89,4",,,1881,109,3,"71,7",,,1745,107,"3,1","92,8",,914,106,"5,9","34,9",,1180,100,"4,3","59,7",,1120,104,"4,7","56,7",,746,86,"5,8","37,8",,607,82,"6,9","30,7",,607,80,"6,8","30,7",,190,42,"11,3","9,6"
,,,HOMBRE,1282,77,3,,,,,,,,,,,,,,,282,49,"8,8",22,,458,56,"6,3","35,7",,966,68,"3,6","75,3",,1140,71,"3,2","88,9",,,906,57,"3,2","70,7",,,825,55,"3,4","91,1",,458,56,"6,3","35,7",,587,54,"4,7","60,7",,549,54,"5,1","56,8",,387,45,6,40,,301,42,7,"31,1",,299,42,"7,1","30,9",,119,27,"11,7","12,3"
,,,MUJER,1339,75,"2,9",,,,,,,,,,,,,,,304,48,"8,1","22,7",,456,56,"6,2",34,,1005,69,"3,5",75,,1204,71,3,90,,,975,60,"3,1","72,8",,,919,59,"3,3","94,3",,456,56,"6,2",34,,593,53,"4,6","58,8",,571,55,"4,9","56,6",,359,47,"6,7","35,6",,306,45,"7,5","30,3",,308,43,"7,2","30,6",,71,19,"13,6",7
,,CABECERA,TOTAL,2492,148,3,736,40,3,,92,17,"9,5","12,5",,406,41,"5,2","55,2",,577,93,"8,2","23,1",,899,106,6,"36,1",,1894,132,"3,5",76,,2241,137,"3,1","89,9",,,1805,110,"3,1","72,4",,,1681,108,"3,3","93,1",,899,106,6,"36,1",,1151,101,"4,5","60,6",,1097,104,"4,8","57,7",,735,86,"5,9","38,7",,600,82,"6,9","31,6",,600,80,"6,8","31,6",,187,42,"11,5","9,8"
,,,HOMBRE,1215,78,"3,3",,,,,,,,,,,,,,,278,49,"8,9","22,8",,451,56,"6,4","37,1",,927,69,"3,8","76,3",,1087,72,"3,4","89,5",,,867,58,"3,4","71,4",,,794,56,"3,6","91,5",,451,56,"6,4","37,1",,573,54,"4,8","61,7",,537,55,"5,2","57,9",,381,45,"6,1",41,,298,42,"7,1","32,1",,295,42,"7,2","31,8",,117,27,"11,9","12,6"
,,,MUJER,1277,77,"3,1",,,,,,,,,,,,,,,299,49,"8,3","23,4",,448,56,"6,3","35,1",,967,70,"3,7","75,7",,1154,72,"3,2","90,4",,,938,61,"3,3","73,5",,,888,60,"3,4","94,6",,448,56,"6,3","35,1",,578,54,"4,7","59,6",,559,55,5,"57,6",,354,47,"6,8","36,5",,303,45,"7,6","31,2",,304,44,"7,3","31,4",,70,19,"13,9","7,2"
,,CENTROS POBLADOS Y RURAL DISPERSO,TOTAL,129,25,10,39,6,8,,1,1,"32,1","2,3",,7,2,"13,1","17,7",,9,3,"16,4","7,3",,15,5,"15,2","11,7",,77,16,"10,6","59,1",,103,20,10,"79,8",,,75,15,"9,9","58,3",,,63,13,"10,3",84,,15,5,"15,2","11,7",,29,7,"11,6","37,7",,24,5,"11,9","30,9",,11,3,"15,3","14,5",,7,2,"17,8","8,7",,7,3,"17,6","9,6",,3,2,"27,4",4
,,,HOMBRE,68,13,"9,9",,,,,,,,,,,,,,,4,2,"17,6","6,5",,7,2,"15,6","10,8",,38,8,"10,6","56,9",,53,10,10,"78,5",,,39,8,"10,2","57,8",,,32,7,"10,6","81,7",,7,2,"15,6","10,8",,14,3,12,"36,3",,12,3,"12,6","30,9",,6,2,"16,3","16,1",,3,1,"20,3","9,1",,4,2,"21,3","9,4",,2,1,"30,5","4,8"
,,,MUJER,62,13,"10,4",,,,,,,,,,,,,,,5,2,"18,2","8,3",,8,3,"16,3","12,7",,38,8,"11,3","61,5",,50,10,"10,6","81,2",,,36,8,"10,6","58,8",,,31,7,11,"86,4",,8,3,"16,3","12,7",,15,4,"12,7","39,2",,12,3,"12,9","30,9",,5,2,17,"12,9",,3,1,"19,8","8,3",,4,1,"18,5","9,8",,1,1,"27,1","3,1"
,BOGOTÁ D.C.,TOTAL,TOTAL,7510,198,"1,3",2940,108,2,,856,93,"5,5","29,1",,2336,122,"2,7","79,4",,2521,288,"5,8","33,6",,3943,285,"3,7","52,5",,6332,209,"1,7","84,3",,7149,193,"1,4","95,2",,,6415,174,"1,4","85,4",,,5886,191,"1,7","91,7",,3943,285,"3,7","52,5",,4222,257,"3,1","66,3",,4241,231,"2,8","66,6",,3039,231,"3,9","47,7",,2672,219,"4,2",42,,2711,212,4,"42,6",,1124,146,"6,6","17,7"
,,,HOMBRE,3585,102,"1,5",,,,,,,,,,,,,,,1234,156,"6,4","34,4",,1908,159,"4,2","53,2",,3059,108,"1,8","85,3",,3412,101,"1,5","95,2",,,3062,92,"1,5","85,4",,,2816,101,"1,8","91,9",,1908,159,"4,2","53,2",,2070,139,"3,4","67,3",,2062,126,"3,1","67,1",,1489,128,"4,4","48,4",,1332,122,"4,7","43,3",,1309,116,"4,5","42,6",,630,87,"7,1","20,5"
,,,MUJER,3925,106,"1,4",,,,,,,,,,,,,,,1287,147,"5,8","32,8",,2036,146,"3,7","51,9",,3273,117,"1,8","83,4",,3737,104,"1,4","95,2",,,3353,95,"1,4","85,4",,,3070,105,"1,7","91,6",,2036,146,"3,7","51,9",,2152,136,"3,2","65,4",,2179,122,"2,9","66,2",,1550,120,4,"47,1",,1340,114,"4,3","40,7",,1403,116,"4,2","42,6",,494,72,"7,4",15
,,CABECERA,TOTAL,7482,198,"1,4",2931,108,2,,855,93,"5,5","29,2",,2332,122,"2,7","79,6",,2517,288,"5,8","33,6",,3936,285,"3,7","52,6",,6314,209,"1,7","84,4",,7124,193,"1,4","95,2",,,6395,174,"1,4","85,5",,,5869,191,"1,7","91,8",,3936,285,"3,7","52,6",,4214,257,"3,1","66,4",,4234,231,"2,8","66,7",,3035,231,"3,9","47,8",,2670,219,"4,2","42,1",,2708,212,4,"42,7",,1123,146,"6,6","17,7"
,,,HOMBRE,3571,102,"1,5",,,,,,,,,,,,,,,1232,156,"6,4","34,5",,1904,159,"4,3","53,3",,3050,108,"1,8","85,4",,3399,101,"1,5","95,2",,,3053,92,"1,5","85,5",,,2807,101,"1,8",92,,1904,159,"4,3","53,3",,2066,139,"3,4","67,4",,2058,126,"3,1","67,2",,1488,128,"4,4","48,5",,1331,122,"4,7","43,4",,1307,116,"4,5","42,6",,629,87,"7,1","20,5"
,,,MUJER,3911,106,"1,4",,,,,,,,,,,,,,,1285,147,"5,9","32,8",,2032,146,"3,7",52,,3264,117,"1,8","83,5",,3725,104,"1,4","95,2",,,3343,95,"1,4","85,5",,,3062,105,"1,7","91,6",,2032,146,"3,7",52,,2148,136,"3,2","65,5",,2175,122,"2,9","66,3",,1548,120,4,"47,2",,1338,114,"4,3","40,8",,1401,116,"4,2","42,7",,494,72,"7,4",15
,,CENTROS POBLADOS Y RURAL DISPERSO,TOTAL,28,0,"0,7",10,0,2,,1,0,"17,6","9,2",,3,1,9,"35,5",,4,1,"13,1","13,3",,7,1,"7,9","25,3",,18,1,"3,8","63,1",,24,1,"1,6","86,4",,,20,1,"1,5","70,4",,,17,1,"2,6","85,3",,7,1,"7,9","25,3",,7,1,"8,6","41,3",,7,1,"6,9","40,6",,3,1,"9,5","18,6",,2,1,"13,6","12,9",,4,1,"10,7","19,6",,1,0,"23,1","3,3"
,,,HOMBRE,14,0,"0,9",,,,,,,,,,,,,,,2,1,"15,6","12,9",,4,1,"8,9","25,2",,9,1,"4,4","61,9",,12,0,2,"85,7",,,10,0,"1,9","68,8",,,8,0,"2,9","84,9",,4,1,"8,9","25,2",,4,1,9,"40,6",,4,1,8,"41,8",,2,0,"12,8","16,7",,1,0,"18,3","11,2",,2,0,"15,2","17,5",,0,0,"27,1",4
,,,MUJER,14,0,"1,1",,,,,,,,,,,,,,,2,0,"13,3","13,6",,4,1,"8,7","25,4",,9,1,"4,2","64,4",,12,0,"1,9","87,1",,,10,0,"1,9","72,1",,,9,1,"3,1","85,8",,4,1,"8,7","25,4",,4,1,"9,6",42,,4,0,7,"39,4",,2,0,"11,1","20,5",,1,0,"13,1","14,7",,2,0,"10,5","21,8",,0,0,"38,2","2,6"
,BOLÍVAR,TOTAL,TOTAL,2057,128,"3,2",674,39,3,,53,12,"11,9","7,9",,325,32,"5,1","48,3",,332,50,"7,6","16,1",,616,72,6,"29,9",,1394,102,"3,7","67,8",,1796,109,"3,1","87,3",,,1295,89,"3,5","62,9",,,1060,80,"3,9","81,9",,616,72,6,"29,9",,639,62,5,"45,4",,643,58,"4,6","45,8",,343,46,"6,9","24,4",,311,43,"7,1","22,1",,281,41,"7,5",20,,105,23,"11,3","7,5"
,,,HOMBRE,1017,65,"3,2",,,,,,,,,,,,,,,162,26,"8,1","15,9",,302,37,"6,2","29,7",,682,52,"3,9",67,,883,55,"3,2","86,8",,,635,44,"3,5","62,4",,,507,39,4,"79,9",,302,37,"6,2","29,7",,308,32,"5,3","44,7",,305,29,"4,9","44,4",,168,24,"7,2","24,5",,150,23,"7,7","21,8",,135,22,"8,2","19,6",,57,14,"12,3","8,3"
,,,MUJER,1040,67,"3,3",,,,,,,,,,,,,,,170,27,8,"16,3",,314,39,"6,3","30,2",,712,54,"3,8","68,5",,913,57,"3,2","87,8",,,660,48,"3,7","63,4",,,553,44,4,"83,8",,314,39,"6,3","30,2",,331,35,"5,3","46,1",,338,33,5,"47,1",,174,26,"7,6","24,2",,161,24,"7,5","22,4",,146,23,8,"20,3",,48,11,"12,2","6,7"
,,CABECERA,TOTAL,1520,154,"5,2",500,48,5,,52,12,"12,2","10,4",,269,34,"6,5","53,8",,306,50,"8,3","20,1",,558,74,"6,8","36,7",,1112,117,"5,4","73,1",,1335,133,"5,1","87,8",,,1025,105,"5,2","67,4",,,862,92,"5,5","84,1",,558,74,"6,8","36,7",,528,65,"6,3","47,2",,523,64,"6,2","46,7",,306,48,8,"27,4",,284,44,8,"25,4",,255,43,"8,6","22,8",,102,23,"11,7","9,1"
,,,HOMBRE,739,78,"5,4",,,,,,,,,,,,,,,149,26,"8,9","20,1",,271,38,"7,1","36,7",,542,60,"5,6","73,3",,645,67,"5,3","87,3",,,490,52,"5,4","66,3",,,406,45,"5,7",83,,271,38,"7,1","36,7",,251,33,"6,7","46,1",,246,32,"6,5","45,2",,150,25,"8,4","27,5",,137,23,"8,7","25,1",,123,22,"9,2","22,6",,56,14,"12,7","10,2"
,,,MUJER,782,79,"5,2",,,,,,,,,,,,,,,158,27,"8,7","20,2",,287,40,"7,1","36,7",,570,61,"5,4",73,,690,69,"5,1","88,3",,,535,56,"5,3","68,4",,,455,49,"5,5","85,1",,287,40,"7,1","36,7",,276,36,"6,7","48,2",,277,36,"6,6","48,2",,157,27,"8,7","27,3",,148,24,"8,4","25,7",,132,23,9,23,,47,12,"12,6","8,1"
,,CENTROS POBLADOS Y RURAL DISPERSO,TOTAL,537,64,"6,1",174,19,6,,1,1,"36,8","0,8",,56,10,"8,7","32,4",,26,11,21,"4,8",,57,15,"13,3","10,7",,282,39,"7,1","52,5",,461,55,"6,1","85,9",,,270,35,"6,5","50,4",,,199,28,"7,2","73,5",,57,15,"13,3","10,7",,111,21,"9,4","38,6",,120,20,"8,5","41,9",,36,9,12,"12,6",,27,7,"12,5","9,3",,26,7,"13,4","8,9",,3,2,"29,2",1
,,,HOMBRE,278,33,"6,1",,,,,,,,,,,,,,,14,6,"22,3","4,9",,30,8,"14,1","10,9",,140,20,"7,2","50,3",,238,29,"6,2","85,5",,,145,19,"6,6","52,3",,,101,15,"7,4","69,5",,30,8,"14,1","10,9",,57,11,"10,2","39,4",,59,11,"9,1","41,2",,19,5,"12,7","13,2",,13,4,"15,4","9,2",,12,4,"17,6","8,2",,2,1,"32,2","1,1"
,,,MUJER,258,31,"6,2",,,,,,,,,,,,,,,12,5,"21,9","4,7",,27,8,"14,6","10,5",,142,20,"7,3",55,,223,27,"6,2","86,3",,,125,17,"6,9","48,3",,,98,14,"7,5","78,1",,27,8,"14,6","10,5",,55,10,"9,6","37,9",,61,11,"8,9","42,5",,17,5,"13,7","11,9",,13,4,"13,9","9,3",,14,4,"13,5","9,5",,1,1,"34,9",1
,BOYACÁ,TOTAL,TOTAL,1179,26,"1,1",441,10,1,,28,7,"12,4","6,3",,238,12,"2,6","54,1",,240,23,"4,8","20,3",,371,26,"3,5","31,5",,781,28,"1,8","66,2",,1085,26,"1,2",92,,,947,23,"1,2","80,3",,,773,25,"1,7","81,7",,371,26,"3,5","31,5",,437,25,"2,9","55,7",,436,23,"2,7","55,5",,261,18,"3,6","33,2",,213,17,4,"27,1",,209,17,"4,1","26,6",,53,8,8,"6,7"
,,,HOMBRE,578,13,"1,2",,,,,,,,,,,,,,,116,13,"5,6","20,1",,183,14,"3,9","31,7",,385,16,"2,2","66,6",,531,14,"1,3","91,9",,,461,12,"1,3","79,8",,,377,14,"1,9","81,6",,183,14,"3,9","31,7",,212,14,"3,4","54,9",,211,13,"3,2","54,6",,133,11,"4,1","34,5",,109,10,"4,8","28,1",,103,10,"5,2","26,5",,32,6,9,"8,2"
,,,MUJER,601,15,"1,3",,,,,,,,,,,,,,,124,12,"5,1","20,6",,188,15,"4,1","31,3",,396,15,2,"65,9",,554,14,"1,3","92,1",,,486,13,"1,4","80,8",,,397,14,"1,8","81,7",,188,15,"4,1","31,3",,225,14,"3,2","56,4",,225,14,"3,3","56,3",,127,11,"4,4","31,9",,104,9,"4,7",26,,106,10,"4,7","26,6",,21,5,"11,5","5,2"
,,CABECERA,TOTAL,719,48,"3,4",273,17,3,,23,7,"14,6","8,4",,178,14,"3,9","65,2",,197,23,"5,9","27,3",,287,27,"4,8","39,9",,548,38,"3,6","76,2",,678,45,"3,4","94,4",,,595,39,"3,3","82,7",,,525,36,"3,5","88,4",,287,27,"4,8","39,9",,323,26,"4,1","58,7",,341,26,4,62,,204,18,"4,6",37,,165,17,"5,2","30,1",,160,17,"5,4","29,1",,42,8,"9,7","7,6"
,,,HOMBRE,340,24,"3,6",,,,,,,,,,,,,,,95,13,"6,8",28,,141,15,"5,3","41,5",,263,21,"4,1","77,4",,322,23,"3,7","94,9",,,279,20,"3,7","82,2",,,248,19,4,"88,8",,141,15,"5,3","41,5",,154,14,"4,6","58,5",,161,14,"4,6","61,1",,102,11,"5,3","38,8",,84,10,"6,1","31,9",,78,10,"6,8","29,4",,25,5,"10,8","9,6"
,,,MUJER,379,25,"3,4",,,,,,,,,,,,,,,101,12,"6,1","26,8",,146,15,"5,4","38,6",,285,20,"3,5","75,1",,356,23,"3,3","93,9",,,315,20,"3,2","83,2",,,277,19,"3,4",88,,146,15,"5,4","38,6",,169,15,"4,5","58,9",,180,16,"4,5","62,7",,101,11,"5,4","35,4",,81,9,"5,8","28,4",,83,9,"5,8","28,9",,17,4,"13,6","5,8"
,,CENTROS POBLADOS Y RURAL DISPERSO,TOTAL,461,39,"4,3",167,13,4,,5,2,"20,1","2,8",,60,8,"6,5","35,9",,43,8,"8,9","9,4",,84,13,"8,1","18,3",,233,27,"5,9","50,7",,407,35,"4,4","88,3",,,352,29,"4,2","76,5",,,248,24,"4,9","70,3",,84,13,"8,1","18,3",,114,15,"6,7","48,5",,95,13,"7,1","40,3",,57,9,"7,7","24,2",,47,8,"8,2",20,,48,8,"8,2","20,5",,11,3,13,"4,6"
,,,HOMBRE,238,20,"4,4",,,,,,,,,,,,,,,21,4,"9,8","8,8",,42,7,"8,4","17,7",,122,14,"5,9","51,2",,209,18,"4,5","87,7",,,182,15,"4,3","76,3",,,128,13,5,"70,7",,42,7,"8,4","17,7",,58,8,"7,4","47,2",,50,7,"7,5","40,7",,31,5,8,"25,1",,25,4,"9,3",20,,25,4,9,"20,4",,6,2,"15,7","5,2"
,,,MUJER,222,20,"4,6",,,,,,,,,,,,,,,22,5,"12,3",10,,42,8,"10,2",19,,111,14,"6,6","50,1",,198,18,"4,6",89,,,170,15,"4,4","76,7",,,119,13,"5,4",70,,42,8,"10,2",19,,56,8,"7,4","49,9",,45,7,"8,1","39,9",,26,5,"10,5","23,2",,23,5,"10,2",20,,23,5,"10,7","20,7",,4,2,"22,6","3,9"
,CALDAS,TOTAL,TOTAL,977,65,"3,4",363,21,3,,41,7,"9,2","11,3",,227,20,"4,5","62,6",,242,31,"6,5","24,8",,344,37,"5,5","35,2",,733,54,"3,7",75,,893,59,"3,4","91,4",,,819,56,"3,5","83,8",,,707,53,"3,9","86,3",,344,37,"5,5","35,2",,420,43,"5,3","56,9",,403,43,"5,4","54,7",,284,33,6,"38,5",,225,27,"6,1","30,5",,250,30,"6,2","33,8",,61,12,"10,4","8,3"
,,,HOMBRE,474,34,"3,6",,,,,,,,,,,,,,,115,16,"7,3","24,3",,164,20,"6,2","34,6",,342,27,4,"72,3",,426,30,"3,6","89,9",,,387,28,"3,7","81,7",,,325,27,"4,2","84,1",,164,20,"6,2","34,6",,199,23,"5,8","57,8",,183,22,"6,1","53,1",,134,17,"6,7","38,8",,108,15,7,"31,2",,115,16,7,"33,4",,33,8,"12,1","9,4"
,,,MUJER,504,34,"3,5",,,,,,,,,,,,,,,127,17,"6,9","25,3",,180,21,"5,9","35,8",,391,29,"3,8","77,6",,467,31,"3,4","92,7",,,432,30,"3,6","85,8",,,382,29,"3,9","88,3",,180,21,"5,9","35,8",,220,23,"5,4","56,2",,220,24,"5,5",56,,150,19,"6,3","38,3",,117,15,"6,5","29,9",,134,17,"6,6","34,2",,28,6,"11,4","7,3"
,,CABECERA,TOTAL,754,79,"5,3",286,26,5,,39,8,10,"13,5",,201,22,"5,5","70,1",,221,31,"7,3","29,2",,309,39,"6,4",41,,597,61,"5,2","79,1",,694,71,"5,2","92,1",,,644,65,"5,2","85,4",,,579,60,"5,3","89,9",,309,39,"6,4",41,,363,46,"6,4","60,4",,355,45,"6,5","59,1",,254,35,"7,1","42,3",,201,28,"7,1","33,5",,222,32,"7,3",37,,56,13,"11,5","9,3"
,,,HOMBRE,356,41,"5,9",,,,,,,,,,,,,,,104,17,"8,2","29,3",,147,21,"7,2","41,2",,274,31,"5,8","77,1",,322,37,"5,8","90,6",,,294,33,"5,7","82,8",,,260,30,"5,9","88,3",,147,21,"7,2","41,2",,171,24,"7,1",62,,160,23,"7,3","57,9",,119,18,"7,9","43,2",,96,15,"8,2","34,6",,103,16,"8,1","37,1",,30,8,"13,4","10,7"
,,,MUJER,399,40,"5,1",,,,,,,,,,,,,,,116,17,"7,6","29,2",,163,22,"6,8","40,8",,322,33,"5,2","80,9",,372,36,5,"93,4",,,350,35,"5,1","87,8",,,319,33,"5,2","91,1",,163,22,"6,8","40,8",,191,25,"6,5","59,1",,194,25,"6,5","60,1",,135,19,"7,3","41,6",,105,15,"7,4","32,6",,120,18,"7,6","36,9",,26,6,"12,4","8,2"
,,CENTROS POBLADOS Y RURAL DISPERSO,TOTAL,223,35,"8,1",77,11,7,,2,1,"23,9",3,,27,5,"9,5","34,4",,22,7,"17,1","9,8",,35,9,"13,1","15,5",,136,24,"8,9","61,2",,198,32,"8,2",89,,,175,28,"8,1","78,3",,,128,22,"8,7","73,3",,35,9,"13,1","15,5",,57,12,"10,4","41,5",,48,10,"10,5","35,3",,30,7,"11,7","21,9",,24,5,"11,4","17,1",,27,6,11,"19,9",,5,2,"19,7","3,7"
,,,HOMBRE,118,19,"8,3",,,,,,,,,,,,,,,11,4,"19,6","9,1",,17,5,"15,3","14,5",,68,13,"9,5","57,7",,103,17,"8,4","87,8",,,92,15,"8,4","78,5",,,65,12,"9,3","70,7",,17,5,"15,3","14,5",,28,7,"12,1","40,7",,23,5,"11,5","33,5",,15,4,"13,6","21,4",,12,3,"13,6","17,1",,13,3,"13,2","18,3",,3,1,"23,3","4,3"
,,,MUJER,105,17,"8,3",,,,,,,,,,,,,,,11,4,"17,2","10,5",,18,5,"13,5","16,7",,68,12,"8,9",65,,95,16,"8,4","90,3",,,82,13,"8,2","78,2",,,63,11,"8,7","76,3",,18,5,"13,5","16,7",,29,6,"10,5","42,3",,26,6,"11,3","37,1",,15,4,"12,1","22,4",,12,3,"12,8","17,2",,15,3,"11,9","21,5",,2,1,"24,7","3,1"
,CAQUETÁ,TOTAL,TOTAL,384,23,3,144,8,3,,9,2,"13,5","6,3",,73,6,"4,1","50,9",,57,9,"7,9","14,8",,90,12,7,"23,5",,244,20,"4,1","63,4",,336,21,"3,2","87,3",,,269,18,"3,4","69,9",,,230,17,"3,8","85,5",,90,12,7,"23,5",,123,15,"6,2","49,6",,112,14,"6,2","45,3",,75,11,"7,7","30,5",,61,10,"8,5","24,7",,66,11,"8,1","26,8",,7,2,"14,7",3
,,,HOMBRE,194,12,"3,1",,,,,,,,,,,,,,,27,5,"9,3","14,1",,45,7,"7,8",23,,118,10,"4,5",61,,165,11,"3,5","84,9",,,131,9,"3,6","67,5",,,109,9,"4,2","83,2",,45,7,"7,8",23,,61,8,"6,8","51,2",,54,8,"7,1","45,3",,37,6,"8,8","31,2",,30,6,"9,5","25,1",,32,6,"9,3","26,6",,5,2,"18,3","3,8"
,,,MUJER,191,12,"3,1",,,,,,,,,,,,,,,30,5,"8,2","15,6",,46,6,"7,1",24,,126,10,"4,1","65,8",,171,11,"3,3","89,7",,,138,10,"3,6","72,3",,,121,9,"3,9","87,7",,46,6,"7,1",24,,62,8,"6,3","48,2",,58,7,"6,2","45,3",,38,6,"7,9","29,8",,31,5,"8,8","24,3",,34,6,"8,4",27,,3,1,"16,7","2,2"
,,CABECERA,TOTAL,256,32,"6,4",101,12,6,,9,2,"13,8","8,8",,53,8,"7,4","52,7",,49,9,"9,4","19,3",,78,13,"8,4","30,4",,181,24,"6,8",71,,232,29,"6,3","90,7",,,192,24,"6,3","75,3",,,169,22,"6,5",88,,78,13,"8,4","30,4",,101,16,"7,9","55,1",,95,15,"7,8","51,9",,68,12,"8,7","37,2",,57,10,"9,1","31,3",,61,11,"8,9","33,5",,6,2,"16,8","3,5"
,,,HOMBRE,123,17,"7,1",,,,,,,,,,,,,,,23,5,"10,9","19,1",,38,7,"9,3",31,,86,13,"7,4","69,9",,110,15,"6,9","89,3",,,89,12,"6,8","72,7",,,78,11,"7,1",87,,38,7,"9,3",31,,50,9,"8,7","57,7",,46,8,"8,8","53,2",,34,7,"9,9","38,8",,28,6,"10,2","32,5",,30,6,"10,1","33,9",,4,2,20,"4,7"
,,,MUJER,132,16,"6,2",,,,,,,,,,,,,,,26,5,"9,6","19,5",,40,7,"8,5","29,9",,95,12,"6,6","71,9",,122,15,"6,1","92,1",,,103,12,"6,2","77,8",,,92,11,"6,4","88,9",,40,7,"8,5","29,9",,51,8,"7,9","52,9",,49,7,"7,7","50,7",,34,6,"8,8","35,7",,29,5,"9,4","30,1",,32,6,"9,1","33,1",,2,1,"20,3","2,4"
,,CENTROS POBLADOS Y RURAL DISPERSO,TOTAL,129,21,"8,2",43,7,8,,0,0,"29,5","0,5",,20,4,"10,3","46,5",,8,2,"16,1",6,,13,3,"13,8","9,9",,62,12,"10,2","48,4",,104,17,"8,5","80,5",,,76,13,"8,4","59,2",,,60,10,"8,7","79,2",,13,3,"13,8","9,9",,22,6,"13,2","33,9",,17,4,13,"26,5",,7,2,"14,8","11,2",,4,1,"15,4","5,9",,5,1,"14,7","7,6",,1,0,"28,6","1,4"
,,,HOMBRE,71,11,"8,2",,,,,,,,,,,,,,,4,1,"18,8","5,4",,6,2,"15,3","9,1",,32,7,"10,9","45,4",,55,9,"8,6","77,4",,,41,7,"8,4","58,5",,,31,5,"8,9","75,1",,6,2,"15,3","9,1",,11,3,"14,8",34,,8,2,"14,6","24,4",,4,1,"17,6","10,9",,2,1,"18,9","5,3",,2,1,19,"7,1",,0,0,"39,5","1,2"
,,,MUJER,58,10,"8,5",,,,,,,,,,,,,,,4,1,17,"6,7",,6,2,"14,3","10,7",,30,6,"10,3","52,1",,49,8,"8,8","84,3",,,35,6,"8,9",60,,,29,5,"9,2","84,1",,6,2,"14,3","10,7",,11,3,13,"33,8",,9,3,"14,8","28,8",,4,1,"16,2","11,5",,2,1,"18,5","6,5",,3,1,20,"8,1",,0,0,"32,4","1,5"
